Name of School,LGA,Ownership,Type of School,Email,Phone Numbers,Link
"CENTER FOR CULTURAL & CREATIVE ARTS/CRAFT, Badagry",State owned, Badagry ,Handcrafts/Home Econs./Computer Centres, , 0708 473 8500,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2227"",""Read more"")"
COMPUTER CENTRE,State owned, Ikeja,Handcrafts/Home Econs./Computer Centres, , 08058490380,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1423"",""Read more"")"
"COMPUTER CENTRE,   Maryland",State owned,Kosofe,Handcrafts/Home Econs./Computer Centres, araromicomput@lagosschoolsonline.com, 0703 060 4141,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2042"",""Read more"")"
"COMPUTER EDUCATION CENTER 1, Sanngo ",State owned,Agege,Handcrafts/Home Econs./Computer Centres, , 0806 247 3793  or  0702 904 9982,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1385"",""Read more"")"
"COMPUTER EDUCATION CENTER 3,  Oniwaya",State owned,Agege,Handcrafts/Home Econs./Computer Centres, , 0805 218 5210  or 0702 904 9982,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1387"",""Read more"")"
"COMPUTER EDUCATION CENTRE 2,  Orile-Agege",State owned,Agege,Handcrafts/Home Econs./Computer Centres, , 0803 308 0631  or  0702 580 6993,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1388"",""Read more"")"
"COMPUTER UNIT ELEGBATA,   Elegbata",State owned,Lagos-Island,Handcrafts/Home Econs./Computer Centres, computerunitelegbata@lagosschoolsonline.com, 0803 428  8901,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1897"",""Read more"")"
DR TESLIM ELIAS HANDICRAFT CENTRE,State owned,Lagos-Island,Handcrafts/Home Econs./Computer Centres, handicraftdr@lagosschoolsonline.com, 0803 384 3031  or 0807 457 3443,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1427"",""Read more"")"
ELEGBATA COMPUTER CENTRE,State owned,Lagos-Mainland,Handcrafts/Home Econs./Computer Centres, , 08034288901,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1430"",""Read more"")"
"ELEJA HOME ECONOMICS CENTRE, Mushin",State owned, Mushin,Handcrafts/Home Econs./Computer Centres, elejahe-cent@lagosschoolsonline.com, 0802 352 8781,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1439"",""Read more"")"
EREKO COMPUTER,State owned,Lagos-Island,Handcrafts/Home Econs./Computer Centres, erekocomputer@lagosschoolsonline.com, 0807-457-3481,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12331"",""Read more"")"
"FINE ART AND CRAFT CENTRE 2,  Oyewole",State owned,Agege,Handcrafts/Home Econs./Computer Centres, , 0803 337 5246,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2114"",""Read more"")"
"FINE ART AND CRAFT CENTRE 3, Dopemu",State owned,Agege,Handcrafts/Home Econs./Computer Centres, , 0802 911 1976,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2115"",""Read more"")"
"GBELEYI  COMPUTER CENTRE, Alakuko",State owned,Ifako/Ijaiye,Handcrafts/Home Econs./Computer Centres, , 0802-344-1504,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2627"",""Read more"")"
"GOVERNMENT HANDICRAFT CENTRE, Ebute Metta",State owned,Lagos-Mainland,Handcrafts/Home Econs./Computer Centres, okobabacraft@lagosschoolsonline.com," 0802 336 0726,   0807 457 1590","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1431"",""Read more"")"
"GOVERNMENT HANDICRAFT CENTRE, Ebute Metta West",State owned,Lagos-Mainland,Handcrafts/Home Econs./Computer Centres, govthconiyun@lagosschoolsonline.com," 0802 855 5183,    0807 457 1588","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1432"",""Read more"")"
"GOVERNMENT HANDICRAFT CENTRE, Myhoung Mil. School",State owned,Lagos-Mainland,Handcrafts/Home Econs./Computer Centres, govthandcfmy@lagosschoolsonline.com, 0805 607 1189,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12342"",""Read more"")"
"GOVERNMENT HANDICRAFT CENTRE, Okobaba Ebute-Metta (East)",State owned,Lagos-Mainland,Handcrafts/Home Econs./Computer Centres, okobabacraft@lagosschoolsonline.com," 0802 336 0726, 0807 457 1590","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12341"",""Read more"")"
GOVERNMENT TECHNICAL COLLEGE ADO-OSOBA,State owned, Badagry ,Handcrafts/Home Econs./Computer Centres, , 08025222769,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1382"",""Read more"")"
GOVERNMENT TECHNICAL COLLEGE IKOTUN,State owned,Alimosho,Handcrafts/Home Econs./Computer Centres, , 08023018856,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1384"",""Read more"")"
"HANDCRAFT CENTRE, Ikosi - Ketu",State owned,Kosofe,Handcrafts/Home Econs./Computer Centres, ikosihandicraftcen@lagosschoolsonline.com, 0802 828 2948,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2018"",""Read more"")"
"HANDCRAFT CENTRE, Kosofe",State owned,Kosofe,Handcrafts/Home Econs./Computer Centres, kosofehandi@lagosschoolsonline.com, 0803 362 3561,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2019"",""Read more"")"
HANDICRAFT CENTRE,State owned, Ikeja,Handcrafts/Home Econs./Computer Centres, , 08068692741,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1420"",""Read more"")"
HANDICRAFT CENTRE,State owned,Ikorodu,Handcrafts/Home Econs./Computer Centres, , 08028282948,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1421"",""Read more"")"
HANDICRAFT CENTRE,State owned, Shomolu,Handcrafts/Home Econs./Computer Centres, , 08054650237,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1422"",""Read more"")"
"HANDICRAFT CENTRE,  Maryland",State owned,Kosofe,Handcrafts/Home Econs./Computer Centres, , 0806 869 2741  ,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2015"",""Read more"")"
"HANDICRAFT CENTRE,  Oworonsoki",State owned,Kosofe,Handcrafts/Home Econs./Computer Centres, oworohandicraftcen@lagosschoolsonline.com, 0805 465 0237  or  0819 124 9729,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2022"",""Read more"")"
"HANDICRAFT CENTRE, DR. TESLIM ELIAS,   Isale-Eko",State owned,Lagos-Island,Handcrafts/Home Econs./Computer Centres, , 0803 305 5803  or  0702 994 2696,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1889"",""Read more"")"
"HANDICRAFT CENTRE, Tapa Lagos",State owned,Lagos-Mainland,Handcrafts/Home Econs./Computer Centres, , 0703 453 0483,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1880"",""Read more"")"
"HANDICRAFT CENTRE, Tapa-Lagos",State owned,Lagos-Island,Handcrafts/Home Econs./Computer Centres, handicraftcentretapa@lagosschoolsonline.com, 0808 094 1282,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1882"",""Read more"")"
"HOLY CROSS CATHOLIC COMPUTER CENTRE,   Lagos.",State owned,Lagos-Island,Handcrafts/Home Econs./Computer Centres, , 0802 360 4432  or  0702 994 2697,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1895"",""Read more"")"
"HOLY TRINITY COMPUTER CENTRE, Ebute-Ero",State owned,Lagos-Island,Handcrafts/Home Econs./Computer Centres, holycomputer@lagosschoolsonline.com, 0802 330 3230  or  0807 457 3471,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1890"",""Read more"")"
"HOLY TRINITY PRIMARY COMPUTER CENTRE, Pencinema",State owned,Ifako/Ijaiye,Handcrafts/Home Econs./Computer Centres, , 0803-454-7512,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2630"",""Read more"")"
"HOME  ECONOMICS  CENTRE,  Maryland",State owned,Kosofe,Handcrafts/Home Econs./Computer Centres, , 0802 305 8431 or   0819 124 9724,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2059"",""Read more"")"
HOME ECONOMIC CENTRE,State owned,Lagos-Island,Handcrafts/Home Econs./Computer Centres, , 08059182917,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1411"",""Read more"")"
HOME ECONOMIC CENTRE,State owned,Agege,Handcrafts/Home Econs./Computer Centres, , 08033852349,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1412"",""Read more"")"
HOME ECONOMIC CENTRE,State owned, Ikeja,Handcrafts/Home Econs./Computer Centres, , 08033157533,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1425"",""Read more"")"
HOME ECONOMIC CENTRE IV,State owned, Shomolu,Handcrafts/Home Econs./Computer Centres, , 08025761448,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1406"",""Read more"")"
"HOME ECONOMIC'S CENTRE, ST. THERESA SCHOOL, Epe",State owned,Epe,Handcrafts/Home Econs./Computer Centres, , 0805-626-6257,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2673"",""Read more"")"
HOME ECONOMICS CENTRE,State owned,Ifako/Ijaiye,Handcrafts/Home Econs./Computer Centres, , 0803-385-2349,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2645"",""Read more"")"
HOME ECONOMICS CENTRE,State owned,Apapa,Handcrafts/Home Econs./Computer Centres, , 08029161428,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1391"",""Read more"")"
HOME ECONOMICS CENTRE,State owned,Alimosho,Handcrafts/Home Econs./Computer Centres, , 08057030892,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1395"",""Read more"")"
HOME ECONOMICS CENTRE,State owned, Badagry ,Handcrafts/Home Econs./Computer Centres, , 08023066802,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1397"",""Read more"")"
HOME ECONOMICS CENTRE,State owned,Apapa,Handcrafts/Home Econs./Computer Centres, , 08035458131,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1401"",""Read more"")"
HOME ECONOMICS CENTRE,State owned,Ikorodu,Handcrafts/Home Econs./Computer Centres, , 08023212087,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1414"",""Read more"")"
HOME ECONOMICS CENTRE,State owned,Ikorodu,Handcrafts/Home Econs./Computer Centres, , 08032424734,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1415"",""Read more"")"
HOME ECONOMICS CENTRE,State owned, Shomolu,Handcrafts/Home Econs./Computer Centres, , 08033829026,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1416"",""Read more"")"
HOME ECONOMICS CENTRE,State owned,Ikorodu,Handcrafts/Home Econs./Computer Centres, , 08028988917,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1417"",""Read more"")"
HOME ECONOMICS CENTRE,State owned,Ikorodu,Handcrafts/Home Econs./Computer Centres, , 08023058431,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1418"",""Read more"")"
HOME ECONOMICS CENTRE ,State owned,Ikorodu,Handcrafts/Home Econs./Computer Centres, , 08025911779,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1419"",""Read more"")"
HOME ECONOMICS CENTRE,State owned,Surulere,Handcrafts/Home Econs./Computer Centres, , 08023910538,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1433"",""Read more"")"
HOME ECONOMICS CENTRE,State owned,Ojo,Handcrafts/Home Econs./Computer Centres, , 08035635945,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1447"",""Read more"")"
HOME ECONOMICS CENTRE,State owned,Oshodi-Isolo,Handcrafts/Home Econs./Computer Centres, , 08024248383,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1448"",""Read more"")"
HOME ECONOMICS CENTRE,State owned, Shomolu,Handcrafts/Home Econs./Computer Centres, , 08033059220,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1451"",""Read more"")"
HOME ECONOMICS CENTRE,State owned, Shomolu,Handcrafts/Home Econs./Computer Centres, , 08033453507,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1454"",""Read more"")"
HOME ECONOMICS CENTRE,State owned,Surulere,Handcrafts/Home Econs./Computer Centres, homeecosbaptist@lagosschoolsonline.com, 0802 364 2028,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1457"",""Read more"")"
HOME ECONOMICS CENTRE,State owned,Lagos-Island,Handcrafts/Home Econs./Computer Centres, , 08033241440,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1458"",""Read more"")"
HOME ECONOMICS CENTRE,State owned,Surulere,Handcrafts/Home Econs./Computer Centres, , 08023878825,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1459"",""Read more"")"
HOME ECONOMICS CENTRE,State owned,Surulere,Handcrafts/Home Econs./Computer Centres, , 08035673223,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1461"",""Read more"")"
HOME ECONOMICS CENTRE I,State owned,Epe,Handcrafts/Home Econs./Computer Centres, , 08056266257,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1403"",""Read more"")"
HOME ECONOMICS CENTRE II,State owned,Alimosho,Handcrafts/Home Econs./Computer Centres, , 08056460306,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1394"",""Read more"")"
HOME ECONOMICS CENTRE II,State owned,Epe,Handcrafts/Home Econs./Computer Centres, , 08028895806,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1404"",""Read more"")"
HOME ECONOMICS CENTRE III,State owned,Ikorodu,Handcrafts/Home Econs./Computer Centres, , 08056586092,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1405"",""Read more"")"
"HOME ECONOMICS CENTRE LILG,  Okesuna",State owned,Lagos-Island,Handcrafts/Home Econs./Computer Centres, , 0803 315 7528 0702 994 2692,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1879"",""Read more"")"
"HOME ECONOMICS CENTRE METHODIST PRY, Agbowa-Ikosi",State owned,Epe,Handcrafts/Home Econs./Computer Centres, , 0808-885-9917,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2698"",""Read more"")"
HOME ECONOMICS CENTRE ST MARYS  Lagos,State owned,Lagos-Island,Handcrafts/Home Econs./Computer Centres, hestmary@lagosschoolsonline.com, 0802 333 7116   or   0807 457 3454,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1878"",""Read more"")"
"HOME ECONOMICS CENTRE Z.I, Epe",State owned,Epe,Handcrafts/Home Econs./Computer Centres, , 0805-658-6092,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2680"",""Read more"")"
"HOME ECONOMICS CENTRE,  Alaba Oro",State owned,Ajeromi LGA,Handcrafts/Home Econs./Computer Centres, , 08035298844,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1407"",""Read more"")"
"HOME ECONOMICS CENTRE,  Kosofe",State owned,Kosofe,Handcrafts/Home Econs./Computer Centres, , 0803 242 4734,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2041"",""Read more"")"
"HOME ECONOMICS CENTRE,  Navy Town",State owned,Amuwo-Odofin,Handcrafts/Home Econs./Computer Centres, homeeconavy@lagosschoolsonline.com, 0703 790 4439,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2150"",""Read more"")"
"HOME ECONOMICS CENTRE, Badagry",State owned, Badagry ,Handcrafts/Home Econs./Computer Centres, , 0803 545 8131,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1390"",""Read more"")"
"HOME ECONOMICS CENTRE, Ebute-Metta East",State owned,Lagos-Mainland,Handcrafts/Home Econs./Computer Centres, homeeconsest@lagosschoolsonline.com, 0803 390 4956,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1434"",""Read more"")"
"HOME ECONOMICS CENTRE, Ebute-Metta West",State owned,Lagos-Mainland,Handcrafts/Home Econs./Computer Centres, homeeconswst@lagosschoolsonline.com, 0803 373 4953,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1435"",""Read more"")"
"HOME ECONOMICS CENTRE, Ibonwon",State owned,Epe,Handcrafts/Home Econs./Computer Centres, , 0803-621-2727,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2742"",""Read more"")"
"HOME ECONOMICS CENTRE, Oworonsoki",State owned,Kosofe,Handcrafts/Home Econs./Computer Centres, homeeconcen@lagosschoolsonline.com, ,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12322"",""Read more"")"
"HOME ECONOMICS CENTRE, Poka",State owned,Epe,Handcrafts/Home Econs./Computer Centres, , 0702-601-5031,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2743"",""Read more"")"
"HOME ECONOMICS CENTRE, Sabo",State owned,Lagos-Mainland,Handcrafts/Home Econs./Computer Centres, homeeconsyab@lagosschoolsonline.com, 0802 391 0538,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12338"",""Read more"")"
"HOME ECONOMICS CENTRE, Surulere Baptist.",State owned,Surulere,Handcrafts/Home Econs./Computer Centres, , 08023642028,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2047"",""Read more"")"
HOME ECONOMICS/ART & CRAFT,State owned,Surulere,Handcrafts/Home Econs./Computer Centres, , 08033129136,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1400"",""Read more"")"
HOME ECONOMICS/ART & CRAFT CENTRE,State owned,Lagos-Island,Handcrafts/Home Econs./Computer Centres, , 08028864894,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1399"",""Read more"")"
"ICT- COMPUTER CENTRE, Yaba",State owned,Lagos-Mainland,Handcrafts/Home Econs./Computer Centres, ict-ccyaba@lagosschoolsonline.com, 0806 060 3331,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12344"",""Read more"")"
IFAKO IJAIYE ARTS & CRAFT CENTRE,State owned,Ifako/Ijaiye,Handcrafts/Home Econs./Computer Centres, , 0803-471-5329,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2634"",""Read more"")"
IGBOBI COMPUTER CENTRE,State owned, Shomolu,Handcrafts/Home Econs./Computer Centres, igbobicomp@lagosschoolsonline.com, -802 353 7971,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12436"",""Read more"")"
ILUPEJU HOME ECONOMICS CENTRE,State owned,Oshodi-Isolo,Handcrafts/Home Econs./Computer Centres, , 08030753041,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1440"",""Read more"")"
"L.G. ART AND CRAFT CENTRE, EPE",State owned,Epe,Handcrafts/Home Econs./Computer Centres, , 0805 272 3650,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2697"",""Read more"")"
"LADI-LAK INSTITUTE,  Alagomeji",State owned,Lagos-Mainland,Handcrafts/Home Econs./Computer Centres, ladilakinst@lagosschoolsonline.com, 0802 326 9993,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1972"",""Read more"")"
LAGOS ISLAND HANDICRAFT CENTRE,State owned,Lagos Island,Handcrafts/Home Econs./Computer Centres, , 08057778502,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1426"",""Read more"")"
LOCAL GOVERNMENT ART & CRAFT CENTRE I,State owned,Epe,Handcrafts/Home Econs./Computer Centres, , 08052723650,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1408"",""Read more"")"
"MAFOLUKU HOME ECONOMICS CENTRE, Mafoluku",State owned,Oshodi-Isolo,Handcrafts/Home Econs./Computer Centres, mafhomecocen@lagosschoolsonline.com," 0807 456 3249,  or  0702-843-7168","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2700"",""Read more"")"
MDGS ICT/COMPUTER CENTRE,State owned,Oshodi-Isolo,Handcrafts/Home Econs./Computer Centres, mdgsictcomp@lagosschoolsonline.com, 0807 456 3259,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12419"",""Read more"")"
MINI - RESOURCE CENTRE,State owned,Ojo,Handcrafts/Home Econs./Computer Centres, miniresource@lagosschoolsonline.com, 0807 456 9559,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12406"",""Read more"")"
MINI - RESOURCE CENTRE,State owned,Oshodi-Isolo,Handcrafts/Home Econs./Computer Centres, miniresource@lagosschoolsonline.com, 0807 456 3267,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12420"",""Read more"")"
MINI RESOURCE CENTRE,State owned,Kosofe,Handcrafts/Home Econs./Computer Centres, ojotamresourcecentre@lagosschoolsonline.com," 0807 392 8986, 0701 767 4076","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12323"",""Read more"")"
"MORAYO HOME ECONOMICS CENTRE, Mushin",State owned, Mushin,Handcrafts/Home Econs./Computer Centres, , 08036153580,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1443"",""Read more"")"
NEW OKO OBA COMPUTER CENTRE,State owned,Ifako/Ijaiye,Handcrafts/Home Econs./Computer Centres, , 0802-906-6410,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2628"",""Read more"")"
OSHODI ICT/COMPUTER CENTRE,State owned,Oshodi-Isolo,Handcrafts/Home Econs./Computer Centres, oshodiict@lagosschoolsonline.com, 0807 456 3259,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12421"",""Read more"")"
"OYE HOME ECONOMICS CENTRE,  Mushin",State owned, Mushin,Handcrafts/Home Econs./Computer Centres, , 0803 005 9555  or  0702 921 9958,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1441"",""Read more"")"
"PALM AVENUE HOME ECONOMICS CENTRE, Mushin",State owned, Mushin,Handcrafts/Home Econs./Computer Centres, , 0807 592 0319  or  0702 921 9959,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2270"",""Read more"")"
"SCIENCE CENTRE, Ojo Area ",State owned,Ojo,Handcrafts/Home Econs./Computer Centres, , 0802-579-5813,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2361"",""Read more"")"
SHOMOLU LGEA COMPUTER CENTRE,State owned, Shomolu,Handcrafts/Home Econs./Computer Centres, , 0802 360 9025,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12437"",""Read more"")"
SOMOLU COMPUTER CENTRE,State owned, Shomolu,Handcrafts/Home Econs./Computer Centres, slgprimaryschool@lagosschoolsonline.com, 0802 360 9025,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1456"",""Read more"")"
"ST PAULS ANGLICAN COMPUTER CENTRE,  Idi-Oro",State owned, Mushin,Handcrafts/Home Econs./Computer Centres, , 0802 266 5058  or  0702 962 3567,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2293"",""Read more"")"
"ST. KIZITOS COMPUTER CENTRE,  Iju-Station",State owned,Ifako/Ijaiye,Handcrafts/Home Econs./Computer Centres, , ,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2624"",""Read more"")"
"SURULERE MINI RESOURCE CENTRE,  Surulere",State owned,Surulere,Handcrafts/Home Econs./Computer Centres, slminiresourcecentre@yahoo.com, 0802 350 7534,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2071"",""Read more"")"
TEACHERS RESOURCES CENTRE,State owned, Badagry ,Handcrafts/Home Econs./Computer Centres, , 01-4062535,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1398"",""Read more"")"
