Name of School,LGA,Ownership,Type of School,Email,Phone Numbers,Link
"AB & M PREPARATORY & PRIMARY SCHOOL, Ijaiye",Privately owned,Ifako/Ijaiye,Nursery/Primary, ," 0803 323 4584, 0802 909 9044","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3361"",""Read more"")"
"ABAAB CHILDREN SCHOOL, Alagbado",Privately owned,Alimosho,Nursery/Primary, abaab@hotmail.co.uk," 0814 151 4011,  0704 618 2870","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10640"",""Read more"")"
"ABARANJE NUR & PRY SCHOOL II, Abaranje",State owned,Alimosho,Nursery/Primary, ," 0807 456 0143,  0802 343 8307","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9227"",""Read more"")"
"ABARANJE NURSERY & PRIMARY SCHOOL I, Abaranje",State owned,Alimosho,Nursery/Primary, abaranjeprysch1@lagosschoolsonline," 0803-447-0362,  0807 456 5724","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10177"",""Read more"")"
"ABARANJE PRIMARY SCHOOL,  Abaranje",State owned,Alimosho,Nursery/Primary, , 0802 340 5049,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/168"",""Read more"")"
"ABATI NURSERY & PRIMARY SCHOOL, Akowonjo",State owned,Alimosho,Nursery/Primary, abatiprysch@lagosschoolsonline, 08059317486,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9238"",""Read more"")"
"ABBOT DAYSPRING CHILDREN SCHOOL, Ayobo-Ipaja",Privately owned,Alimosho,Nursery/Primary, abbotdayspring@gmail.com," 0802 861 7793,  01-817 3266.","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3470"",""Read more"")"
"ABC ROYAL SCHOOL, Maza-Maza",Privately owned,Amuwo-Odofin,Nursery/Primary, abcroyalschools@yahoo.com," 0803 361 3243,  0806 330 0278","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/49082"",""Read more"")"
"ABED-NEGO MONTESSORI NUR/PRY SCHOOL, Ketu",Privately owned,Kosofe,Nursery/Primary, abednegomont@yahoo.com," 0803-386-9714,     0803-811-5427, ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3816"",""Read more"")"
"ABEJOYE PRIMARY SCHOOL,  Igbokuta",State owned,Ikorodu,Nursery/Primary, abepryigbokuta@lagosschoolsonline.com," 0803 394 6203, 0815 939 1607","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/834"",""Read more"")"
"ABESAN PRIMARY SCHOOL,  Abesan",State owned,Alimosho,Nursery/Primary, abesanprysch@lagosschoolsonline," 0808-498-6556, 0807 456 0106","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/132"",""Read more"")"
"ABIBOSS NUR & PRY SCHOOL, Okekoto",Privately owned,Agege,Nursery/Primary, abibossschools@gmail.com," 0803 305 7841, 0803 243 9972","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12490"",""Read more"")"
"ABIBOSS NURSERY & PRIMARY SCHOOL, Sari Iganmu",Privately owned,Apapa,Nursery/Primary, abiboss_np@yahoo.com," 0807 149 0642,  0807 149 0640","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4505"",""Read more"")"
"ABIKS PRIVATE NUR./PRY SCHOOL, Agege",Privately owned,Agege,Nursery/Primary, abiksprivateschool@gmail.com," 0802 326 7508,  0802 313 4447,   01-8042238","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2980"",""Read more"")"
"ABILITY CHILDREN SCHOOL, Idi Magoro",Privately owned,Alimosho,Nursery/Primary, abilityschools@yahoo.com, 0803 720 9414,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/11291"",""Read more"")"
"ABILITY CHILDREN SCHOOL, Idimangoro",Privately owned,Agege,Nursery/Primary, abilityschools@yahoo.com," 0806 232 7816,      0803 720 9414 ,0703 876 7791       0803 897 4555","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4685"",""Read more"")"
"ABIMBOLA GIBSON MEM. PRY SCHL, Surulere",State owned,Surulere,Nursery/Primary, abimbolagibson@lagosschoolsonline.com," 0803 845 7883, 0815 909 2218","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2017"",""Read more"")"
"ABINA/OMOLOLU NUR/PRY SCHL, Surulere",State owned,Surulere,Nursery/Primary, abinaomololu@lagosschoolsonline.com," 0815 909 2235,   0803 212 7930","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2029"",""Read more"")"
"ABIODUN PRIMARY SCHOOL, Mushin",State owned, Mushin,Nursery/Primary, ," 0805 304 1144, 0807 456 4053","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1537"",""Read more"")"
"ABIOLU NURSERY & PRIMARY SCHOOL, Igando",Privately owned,Alimosho,Nursery/Primary, abioluschools2020@gmail.com," 0803 313 8984,  0818 875 9735,  0810 205 3656","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/92439"",""Read more"")"
"ABMOS NUR & PRY SCHOOL, Lagos Island",Privately owned,Lagos-Island,Nursery/Primary, ," 0803 522 3074,  0802 983 5613 ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/49277"",""Read more"")"
"ABORU PRIMARY SCHOOL,   Aboru",State owned,Alimosho,Nursery/Primary, aboruprysch@lagosschoolsonline, 08060150013,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/167"",""Read more"")"
"ABU-HASBUNALLAHU PRIVATE SCHOOL, Igbogbo",Privately owned,Ikorodu,Nursery/Primary, abu.hasbunallaha@yahoo.com," 0706-787-0020, or  0802-613-5356","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3362"",""Read more"")"
"ABUDANT LIFE NURSERY & PRIMARY SCHOOL, Fagba ",Privately owned,Ifako/Ijaiye,Nursery/Primary, janeonaolapo@yahoo.co.uk," 0805 027 5758,     0803 320 4308,      0805 811 5845","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/5008"",""Read more"")"
"ABULE AYO PRIMARY, Bariga",State owned, Shomolu,Nursery/Primary, ayo@lagosschoolsonline.com, 0802 362 5788,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2456"",""Read more"")"
"ABULE EGBA COMMUNITY PRY SCHOOL,   Abule Egba",State owned,Alimosho,Nursery/Primary, , 08034292781,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/181"",""Read more"")"
"ACEHALL NURSERY/PRIMARY SCHOOL, Ikeja",Privately owned, Ikeja,Nursery/Primary, acehallschool@yahoo.co.uk, 0805 332 2723,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10151"",""Read more"")"
"ACHIEVERS NURSERY & PRIMARY SCHOOL, Owutu",Privately owned,Ikorodu,Nursery/Primary, ," 0803 353 6436, 0805 733 3333","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/74508"",""Read more"")"
"ACME PRIVATE SCHOOLS, Agric",Privately owned,Ikorodu,Nursery/Primary, acmeprivatesch@yahoo.com," 0703-796-0693,   0813-523-2206","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3742"",""Read more"")"
"ADAK  NUR/PRY PRIVATE SCHOOL, Olosa",Privately owned, Mushin,Nursery/Primary, adakschool@gmail.com, 0802 341 0588,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/49244"",""Read more"")"
"ADAMANDA PRIVATE SCHOOL, Ibereko",Privately owned, Badagry ,Nursery/Primary, tia_agidi@yahoo.com," 0803 410 2633, 0815 600 3834,  0808 290 7788","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/4345"",""Read more"")"
"ADARANIJO PRIMARY SCHOOL, Pedro",State owned, Shomolu,Nursery/Primary, adaranijo@lagosschoolsonline.com, 0814 123 3377,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2540"",""Read more"")"
"ADDO PRIMARY SCHOOL, Langbasa",State owned,Eti-Osa,Nursery/Primary, addoprisch@lagosschoolsonline.com," 0802 326 1641,0803 538 5913","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/673"",""Read more"")"
"ADE ADEGBITE NURSERY & PRIMARY SCHOOL, Bariga ",Privately owned, Shomolu,Nursery/Primary, aadegbitenps@gmail.com," 0802 303 0132,0802 302 3121, 0805 381 9038","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/11133"",""Read more"")"
"ADE GLORYLAND NUR. & PRY SCHOOL, Obadore ",Privately owned,Alimosho,Nursery/Primary, bemdgbisi@yahoo.com," 0803 278 4970, 0802 321 6968","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/48679"",""Read more"")"
"ADE-ABBA CRES SET SCHOOL, Badore",Privately owned,Eti-Osa,Nursery/Primary, abbacressetschool2008@yahoo.com," 0703 840 4608,  0803 351 8381","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/64391"",""Read more"")"
"ADE-OSHODI MEMORIAL BAPTIST SCHOOL,  Lagos",State owned,Lagos-Island,Nursery/Primary, adeoshodi@lagosschoolsonline.com, 0806 010 8608,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1888"",""Read more"")"
"ADEBAYO MOKUOLA COLLEGE, Ogba",Privately owned, Ikeja,Nursery/Primary, ," 0803 368 5808, 0803 333 9559","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/77381"",""Read more"")"
"ADEBAYO MOKUOLU COLLEGE, Ifako-Ijaiye",Privately owned,Ifako/Ijaiye,Nursery/Primary, , 0803 333 9559,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/11666"",""Read more"")"
"ADEBOLA BAPTIST NUR & PRY SCHOOL, Surulere",State owned,Surulere,Nursery/Primary, adebol60@lagosschoolsonline.com, 0815 909 2227  0805 561 7754,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2910"",""Read more"")"
"ADEBULE PRIMARY SCHOOL, Fola-Agoro",State owned, Shomolu,Nursery/Primary, adebuleschool@lagosschoolsonline.com, 0802 362 5719 ,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2457"",""Read more"")"
"ADEBULE PRIMARY SCHOOL, Isawo",State owned,Ikorodu,Nursery/Primary, angpryisawo@lagosschoolsonline.com, 0818 205 9693,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12308"",""Read more"")"
ADEFESO NURSERY AND PRIMARY SCHOOL,Privately owned,,Nursery/Primary, , 0805 505 3275,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/105287"",""Read more"")"
"ADEGOKE COMPUTER CENTRE,  Masha",State owned,Surulere,Nursery/Primary, adegokecomputer@lagosschoolsonline.com, 0805 843 7504,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2078"",""Read more"")"
"ADEGOKE NUR & PRY SCHL,  Masha",State owned,Surulere,Nursery/Primary, adeprysch@lagosschoolsonline.com," 0802 792 7707, 0815 909 2209","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2077"",""Read more"")"
"ADEIFE SODIPO-AKINDEKO MEMORIAL PRIMARY SCHOOL, Bariga",State owned, Shomolu,Nursery/Primary, adeifeschool@lagosschoolsonline.com," 0802 335 5958, 0807 456 5521","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2531"",""Read more"")"
"ADEKUNLE ANGLICAN PRIMARY SCHL, Makoko",State owned,Lagos-Mainland,Nursery/Primary, dekunleangnp@lagosschoolsonline.com," 0806 531 9902, 0807 456 9588","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1981"",""Read more"")"
"ADELEYE NURSERY & PRIMARY SCHOOL, Mushin",State owned, Mushin,Nursery/Primary, , 0803 624 8562,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1538"",""Read more"")"
"ADENIJI NUR/PRY SCHOOL ,SURULERE",State owned,Surulere,Nursery/Primary, adenijipry@lagosschoolsonline.com," 0815 909 2231,   0805 561 7735","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2054"",""Read more"")"
"ADENIYI JONES PRY SCHOOL, Ikeja",State owned, Ikeja,Nursery/Primary, adeniyijones@lagosschoolsonline.com," 0803 368 4658, 0807 457 3244","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2337"",""Read more"")"
"ADENIYI PRIMARY SCHOOL,  Mushin",State owned, Mushin,Nursery/Primary, adeniyi@lagosschoolsonline.com, 0805 238 1497,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1539"",""Read more"")"
"ADEREMI NURSERY & PRIMARY SCHOOL, Oshodi",Privately owned,Oshodi-Isolo,Nursery/Primary, alokunonline@yahoo.com," 0802 376  6169, 0802 328 4047, 0803 401 9441","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/77406"",""Read more"")"
"ADESIJI IFEBOGUN MEMORIAL NUR/PRY SCHOOL, Ijeshatedo",Privately owned,Surulere,Nursery/Primary, adesijiifebogunmemschools@gmail.com," 0809 392 9369, 0805 617 5123 0803 303 4724","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/11178"",""Read more"")"
"ADEWOYE ADEYEMI MEMORIAL ACADEMY, Ebute-Metta",Privately owned,Lagos-Mainland,Nursery/Primary, aadetoye@yahoo.com, 0806 069 6167  0803 826 3392,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/3863"",""Read more"")"
"ADISA BASHUA NUR/PRY SCHL,  Surulere",State owned,Surulere,Nursery/Primary, adisabashau@lagosschoolsonline.com, 0815 909 2262  0803 231 7249,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2003"",""Read more"")"
"ADONAI NUR/PRY SCHOOL, Ketu",Privately owned,Kosofe,Nursery/Primary, adonaischoolketu@gmail.com," 0809 971 5022, 0802 327 1685, 0816 175 3059","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12389"",""Read more"")"
"AFARIOGUN NUR/PRY SCHOOL, Osodi",State owned,Oshodi-Isolo,Nursery/Primary, afariogunosh@lagosschoolsonline.com," 0807  456 0370,   0803 489 3045 ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2701"",""Read more"")"
"AFOLABI NUR & PRY SCHOOL, Oshodi",State owned,Oshodi-Isolo,Nursery/Primary, afolabiosh@lagosschoolsonline.com," 0807 456 0377, 0802 320 8260","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2439"",""Read more"")"
"AFOLAWO NURSERY & PRIMARY SCHOOL, Igbogbo",Privately owned,Ikorodu,Nursery/Primary, afolawo@yahoo.com," 0803 312 9112, 0803 312 8696","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/11474"",""Read more"")"
"AFRICAN BETHEL PRIMARY SCHOOL,  Maya",State owned,Ikorodu,Nursery/Primary, afbetprymaya@lagosschoolsonline.com," 0803 357 5606, 0815 939 1610","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/838"",""Read more"")"
"AFRICAN BETHEL PRIMARY SCHOOL, Erikorodo",State owned,Ikorodu,Nursery/Primary, afbeterikorodo@lagosschoolsonline.com," 0802 362 7421,0815 939 1608","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/836"",""Read more"")"
"AFRICAN BETHEL PRIMARY SCHOOL, Ota-Ona",State owned,Ikorodu,Nursery/Primary, , 0815 939 1609,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/837"",""Read more"")"
"AFRICAN BETHEL PRIMRY SCHOOL, Ikorodu",State owned,Ikorodu,Nursery/Primary, afrbetpryikd@lagosschoolsonline.com, 0808 608 1874,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12313"",""Read more"")"
"AFRICAN CHURCH CENTRAL PRIMARY SCHOOL,  Agege",State owned,Agege,Nursery/Primary, accenstralage@lagosschoolsonline.com, 08023825226,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12"",""Read more"")"
"AFRICAN CHURCH MODEL NUR/PRY SCHOOL, II  Alagbado",State owned,Alimosho,Nursery/Primary, ," 0802 379 4955, 0807 456 0174","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/137"",""Read more"")"
"AFRICAN CHURCH MODEL NURSERY & PRIMARY SCHOOL I, Alagbado",State owned,Alimosho,Nursery/Primary, africanchualagbado@lagosschoolsonline," 0802 915 9159, 0807 456 0127","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10185"",""Read more"")"
AFRICAN CHURCH PRIMARY SCHOOL,State owned,Ifako/Ijaiye,Nursery/Primary, africanchurchpryschool@lagosschoolsonline.com, 0803 567 5122,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/11910"",""Read more"")"
"AFRICAN CHURCH PRIMARY SCHOOL 1, Meiran",State owned,Alimosho,Nursery/Primary, africanchu1meiran@lagosschoolsonline," 0802 434 1198,0807 456 0200","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/10148"",""Read more"")"
"AFRICAN CHURCH PRIMARY SCHOOL 2, Meiran",State owned,Alimosho,Nursery/Primary, africanchu2meiran@lagosschoolsonline," 0802-600-5550,   0807 456 0174","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/134"",""Read more"")"
"AFRICAN CHURCH PRIMARY SCHOOL I, Alagbado",State owned,Alimosho,Nursery/Primary, ," 0807 456 0127,  0802 915 9159","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/9231"",""Read more"")"
"AFRICAN CHURCH PRIMARY SCHOOL,  Akowonjo",State owned,Alimosho,Nursery/Primary, africanchuakowonjo@lagosschoolsonline," 0805-805-8241, 0807 456 0051","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/135"",""Read more"")"
"AFRICAN CHURCH PRIMARY SCHOOL,  Mosan",State owned,Alimosho,Nursery/Primary, africanchumosan@lagosschoolsonline," 0807 456 0197, 0802 343 8314","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/136"",""Read more"")"
"AFRICAN CHURCH PRIMARY SCHOOL, Ifako",State owned,Ifako/Ijaiye,Nursery/Primary, , 0803-550-5934,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2631"",""Read more"")"
"AFRICAN CHURCH PRY SCHL,  Abule-Oja",State owned,Lagos-Mainland,Nursery/Primary, africhurpry@lagosschoolsonline.com, 0703 377 1200,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1951"",""Read more"")"
"AFRICAN CHURCH PRY SCHOOL, Ikola",State owned,Alimosho,Nursery/Primary, africanchuikola@lagosschoolsonline," 0802 308 9492,   0807 514 1100","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/133"",""Read more"")"
"AFRICAN MARITIME ACADEMY, Egan",Privately owned,Alimosho,Nursery/Primary, amaschools @gmail.com," 0803 372 9204, 0702 689 5200","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/77179"",""Read more"")"
"AFRICAN PRIMARY SCHOOL,  Ajegunle",State owned,Ajeromi LGA,Nursery/Primary, afriq_school@lagosschoolsonline.com," 0815 919 3710, 0805 630 4959","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/128"",""Read more"")"
"AGA PRIMARY SCHOOL, Gbasemo-Aga",State owned,Ikorodu,Nursery/Primary, agapryschikd@lagosschoolsonline.com," 0802 849 9257, 0815 939 1681","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/840"",""Read more"")"
"AGANJU AKA NUR/PRY SCHL INCLUSIVE SCH II, Okokomaiko",State owned,Ojo,Nursery/Primary, agajuakanurseryandprimaryschooltwo@lagosschoolsonline.com," 0802 828 8136, 0807 456 9440","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2378"",""Read more"")"
"AGANJU AKA PRIMARY SCHOOL ONE, Okokomaiko",State owned,Ojo,Nursery/Primary, agajuakanpsch1@lagosschoolsonline.com, 0806 034 9568,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2373"",""Read more"")"
"AGAPE BUNDLES MONTESSORI SCHOOL, Omole Phase 1",Privately owned, Ikeja,Nursery/Primary, info@agapebundlesschool.com," 0817 044 2579,  0802 241 7261","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/103506"",""Read more"")"
AGBADO IJAIYE PRIMARY SCHOOL III,State owned,Ifako/Ijaiye,Nursery/Primary, agbadoijaiyepryschool_03@lagosschoolsonline.com, 0802 917 6395,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12281"",""Read more"")"
AGBADO IJAIYE PRIMARY SCHOOL IV,State owned,Ifako/Ijaiye,Nursery/Primary, agbadoijaiyepryschool_04@lagosschoolsonline.com, 0802 920 3765,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12282"",""Read more"")"
"AGBADO/IJAIYE PRIMARY SCHOOL-1, Ojokoro",State owned,Ifako/Ijaiye,Nursery/Primary, agbadoijaiyepryschhol_01@lagosschoolsonline.com, 0802 826 5165,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2236"",""Read more"")"
"AGBADO/IJAIYE PRIMARY SCHOOL-2, Ojokoro",State owned,Ifako/Ijaiye,Nursery/Primary, agbadoijaiyepryschool_02@lagosschoolsonline.com," 0802 826 5165,0803 337 0576","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2238"",""Read more"")"
"AGBOYI NUR/PRY SCHOOL,  Agboyi",State owned,Kosofe,Nursery/Primary, abgoyinurpry@lagosschoolsonline.com," 0803 424 8179,   0807 570 0538","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1151"",""Read more"")"
"AGEGE JUNIOR COLLEGE, Agege",State owned,Agege,Nursery/Primary, agegejnrcoll@lagosschoolsonline.com, 0803 320 2575,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12189"",""Read more"")"
"AGEGE MOTOR ROAD PRIMARY SCHOOL, Mushin ",State owned, Mushin,Nursery/Primary, agegemtpry@lagosschoolsonline.com, 0805 615 1824,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1540"",""Read more"")"
AGEGE PRIMARY SCHOOL,State owned,Agege,Nursery/Primary, , 08028689510,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/762"",""Read more"")"
"AGEKE PRIMARY SCHOOL, Ejigbo",State owned,Oshodi-Isolo,Nursery/Primary, agekeejigbo@lagosschoolsonline.com," 0807 456 0378,  0802 392 5584 ","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2709"",""Read more"")"
"AGIDINGBI PRIMARY SCHOOL,  Agidingbi",State owned, Ikeja,Nursery/Primary, agidingbisch@lagosschoolsonline.com," 0805 154 3187,0807 457 3247","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/778"",""Read more"")"
"AGO-EGBA AFRICAN CHURCH PRY SCHL, Ebute-Meta",State owned,Lagos-Mainland,Nursery/Primary, agoegbaafpry@lagosschoolsonline.com," 0803 347  2206                                                                                                              0803 347 2206, 0807 456 9591","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1936"",""Read more"")"
"AGO-IJAYE METH.PRIMARY SCHOOL,SAVAGE STR.",State owned,Lagos-Mainland,Nursery/Primary, agoijaiyemet@lagosschoolsonline.com, 0802 354 0489,"=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/1949"",""Read more"")"
"AGO-OWU NUR/PRY SCHOOL, Sogunle",State owned,Oshodi-Isolo,Nursery/Primary, agoowusog@lagosschoolsonline.com," 0807 456 0380,   0805-431 0389","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/2397"",""Read more"")"
AGODO ALARA PRIMARY COMMUNITY SCHOOL,State owned,Ikorodu,Nursery/Primary, agodopryodo@lagosschoolsonline.com," 0703 940 4707, 0805 560 0680","=HYPERLINK(""http://www.lagosschoolsonline.com/Schools/Profile/12309"",""Read more"")"
